district_name,district_key,cluster_shares,dominant_cluster_label
Arganzuela,arganzuela,"{'cluster_1': 0.3465346534653465, 'cluster_2': 0.07920792079207921, 'cluster_3': 0.0297029702970297, 'cluster_4': 0.5445544554455446}",cluster_4
Barajas,barajas,"{'cluster_0': 0.058394160583941604, 'cluster_1': 0.24087591240875914, 'cluster_2': 0.5291970802919708, 'cluster_4': 0.17153284671532848}",cluster_2
Carabanchel,carabanchel,"{'cluster_0': 0.019801980198019802, 'cluster_1': 0.3811881188118812, 'cluster_2': 0.10396039603960396, 'cluster_4': 0.49504950495049505}",cluster_4
Centro,centro,"{'cluster_1': 0.24358974358974358, 'cluster_2': 0.16666666666666666, 'cluster_3': 0.02564102564102564, 'cluster_4': 0.5641025641025641}",cluster_4
Chamartín,chamartín,"{'cluster_1': 0.136986301369863, 'cluster_2': 0.2328767123287671, 'cluster_3': 0.0273972602739726, 'cluster_4': 0.6027397260273972}",cluster_4
Chamberí,chamberí,"{'cluster_1': 0.18666666666666668, 'cluster_2': 0.13333333333333333, 'cluster_3': 0.013333333333333334, 'cluster_4': 0.6666666666666666}",cluster_4
Ciudad Lineal,ciudadlineal,"{'cluster_0': 0.01818181818181818, 'cluster_1': 0.15757575757575756, 'cluster_2': 0.1696969696969697, 'cluster_3': 0.006060606060606061, 'cluster_4': 0.6484848484848484}",cluster_4
Fuencarral-El Pardo,fuencarralelpardo,"{'cluster_0': 0.25241157556270094, 'cluster_1': 0.27813504823151125, 'cluster_2': 0.10289389067524116, 'cluster_3': 0.003215434083601286, 'cluster_4': 0.3633440514469453}",cluster_4
Hortaleza,hortaleza,"{'cluster_0': 0.05063291139240506, 'cluster_1': 0.31329113924050633, 'cluster_2': 0.12974683544303797, 'cluster_4': 0.5063291139240507}",cluster_4
Latina,latina,"{'cluster_0': 0.07636363636363637, 'cluster_1': 0.2909090909090909, 'cluster_2': 0.19636363636363635, 'cluster_3': 0.01090909090909091, 'cluster_4': 0.4254545454545455}",cluster_4
Moncloa-Aravaca,moncloaaravaca,"{'cluster_0': 0.032989690721649485, 'cluster_1': 0.38762886597938145, 'cluster_2': 0.12577319587628866, 'cluster_3': 0.008247422680412371, 'cluster_4': 0.44536082474226807}",cluster_4
Moratalaz,moratalaz,"{'cluster_0': 0.023529411764705882, 'cluster_1': 0.24705882352941178, 'cluster_2': 0.15294117647058825, 'cluster_3': 0.011764705882352941, 'cluster_4': 0.5647058823529412}",cluster_4
Puente de Vallecas,puentedevallecas,"{'cluster_1': 0.2766990291262136, 'cluster_2': 0.22815533980582525, 'cluster_3': 0.0048543689320388345, 'cluster_4': 0.49029126213592233}",cluster_4
Retiro,retiro,"{'cluster_1': 0.3875, 'cluster_2': 0.225, 'cluster_4': 0.3875}",cluster_1
Salamanca,salamanca,"{'cluster_1': 0.12790697674418605, 'cluster_2': 0.20930232558139536, 'cluster_3': 0.011627906976744186, 'cluster_4': 0.6511627906976745}",cluster_4
San Blas - Canillejas,sanblascanillejas,"{'cluster_0': 0.06147540983606557, 'cluster_1': 0.48770491803278687, 'cluster_2': 0.12704918032786885, 'cluster_4': 0.3237704918032787}",cluster_1
Tetuán,tetuán,"{'cluster_1': 0.1411764705882353, 'cluster_2': 0.18823529411764706, 'cluster_3': 0.047058823529411764, 'cluster_4': 0.6235294117647059}",cluster_4
Usera,usera,"{'cluster_1': 0.325, 'cluster_2': 0.21666666666666667, 'cluster_3': 0.008333333333333333, 'cluster_4': 0.45}",cluster_4
Vicálvaro,vicálvaro,"{'cluster_0': 0.16666666666666666, 'cluster_1': 0.44086021505376344, 'cluster_2': 0.0913978494623656, 'cluster_3': 0.005376344086021506, 'cluster_4': 0.2956989247311828}",cluster_1
Villa de Vallecas,villadevallecas,"{'cluster_0': 0.12110726643598616, 'cluster_1': 0.5259515570934256, 'cluster_2': 0.1245674740484429, 'cluster_4': 0.22837370242214533}",cluster_1
Villaverde,villaverde,"{'cluster_0': 0.0653061224489796, 'cluster_1': 0.5510204081632653, 'cluster_2': 0.10612244897959183, 'cluster_3': 0.00816326530612245, 'cluster_4': 0.2693877551020408}",cluster_1
